,RAMO_POLIZA_ENDOSO,ASEGURADO,FECHA EMISION,VIGENCIA DESDE,VIGENCIA HASTA,RENOVADA POR,RENUEVA A,CODIGO DE MONEDA,CODIGO DE FACTURACION,CODIGO DE EMISION (MONEDA),%  RECARGO FINANCIERO,%  I.V.A.,%  BONIFICACION TECNICA,CODIGO DE RAMO/SUBRAMOS,SUMA ASEGURADA,PRIMA NETA,DERECHO DE POLIZA/ENDOSO,RECARGO FINANCIERO,I.V.A.,BONIFICACION,BONIFICACION REC.FIN.,BONIFICACION TECNICA,PRIMA (SOLO P/ENDOSO DE REC.FIN),PRIMA TOTAL,CODIGO DE PLAN DE PAGO,COMISION NORMAL,ENDOSO QUE MODIFICA,ACREEDOR PRENDARIO,MARCA DE ANULACION AUTOMATICA,TIPO DE ENDOSOS ASOCIADOS,ENDOSOS ASOCIADOS,FECHA DE REHABILITACION,NUMERO DE SINIESTRO,CODIGO DE SUCURSAL,CODIGO DE OPERACION (COAS),POL/END EN COAS RECIBIDO U OTORGADO,COMPANIA PILOTO,TURISTAS,CAMBIO DE MONEDA,SUMA ASEGURADA         M.E.,DERECHO DE POLIZA/END  M.E.,RECARGO FINANCIERO     M.E.,I.V.A. M.E.,BONIFICACION REC.FIN.  M.E.,BONIFICACION TECNICA   M.E.,PRIMA TOTAL            M.E.,USUARIO QUE EMITE,RENOVACION AUTOMATICA,DIAS DE PERIODO DE GRACIA DEL AGENTE,AUT. EN DIAS DE PERIODO DE GRACIA,% DESC X PERIODO DE GRACIA,DESCTO. PERIODO DE GRACIA,POLITICAS DE BONO A PROMOTOR,MARCA DE DEDUCIBLE ADMINISTRATIVO,PLAN PISO,USUARIO DE QBC,C.P. ASEGURADO,COD. EDO Y GRUPO C.P.,"TIPO DE NEGOCIO (I,FL,C,NE,NF>"
0,044055195800130355,0027710548,20361,20308,20613,,,00,1,1,0,1600,3000,0401,889200000,501710,45830,,87610,,,199260,,635150,MV,1000ý200,241342,,,201,,,,018,1,,,,,,0,,,,,,ERIRAMIREZ-AUT,,0,,0,0,,,,,42854,13ý21,
0,040190193500000000,0020541888,20394,20394,20760,,,00,1,1,240,1600,3000,0401,854500000,1148941,55000,27575,197043,0,0,473494,,1428559,S,1000,,,,203,228378,,,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,22979,,,,,54190,15ý04,
0,042770341900239685,0019943255,20691,20616,20981,,,00,2,1,0,1600,3100,0401,-1239800000,-593497,-97000,0,-110480,,,-246875,,-800977,C,0,000000,,S,203,,,,277,1,,,,,,0,,,,,,CANCELA-AUT,,30,,0,0,,,,OMA_P-40761,28010,06ý01,
0,040830343000266187,0023787873,20450,20383,20513,,,00,2,1,-300,1600,3300,0402,-1806569998,-4197982,0,125939,-651527,,,-1802773,,-4723570,C,800,184497,,,202,,,,083,1,,009,,,,0,,,,,,AMCRUZ-AUT,,07,,300,-125939,,,,,78180,24ý01,
0,047160472800242077,0019111326,20577,20565,20930,,,00,2,1,200,1600,3548.6798,0401,-1148500000,-957811,-60000,19156,-159785,,,-502661,,-1158440,C,1000ý200,000000,,S,203,,,,716,1,,,,,,0,,,,,,VEGARCIA-AUT,,14,,200,19156,,,,ALA_P-104220,72534,21ý01,
0,040190193600000000,0008474337,20399,20386,20783,,,00,1,1,0,1600,5800,0401,730490001,1291150,100000,0,222584,0,0,1703708,,1613734,C,0,000000,,,,,,241237835,019,1,,009,,,,,,,,,,CESPINO,,07,,0,0,,,,,10400,09ý08,
0,044055735900250109,0013869971,20640,20626,20991,,,00,2,1,0,1600,7533.5181,0401,-1006000000,-364968,-47000,0,-63579,-14599,,-952863,,-460948,C,700,000000,,S,203,,,,097,1,,,,,,0,,,,,,OAREVALO-AUT,,30,,0,0,,,,OMA_P-41780,44909,14ý01,
0,040190193700000000,0011844688,20401,20401,20767,,,00,1,1,480,1600,4500,0402,742475000,535696,55000,25713,98625,0,0,402198,,715034,T,800,,,,203,291991,,,019,1,,,,,,,,,,,,WSDS11251ý21690ýPRINCIPAL,,14,,200,10714,,,,,16090,09ý13,
0,048110004200255287,0029274634,20663,20646,20861,,,00,2,1,-540,1600,3000,0401,-678300001,-631792,0,-34118,-106547,,,0,,-772457,C,0,000000,,S,203,,,,811,1,,009,,,,0,,,,,,JCSOSA-AUT,,3,,300,32492,,,,,79205,24ý21,
0,040190193800000000,0025096046,20403,20436,20802,,0190175459,00,1,1,-200,1600,4149,0401,699100001,1971138,55000,-39423,317874,0,0,1360209,,2304589,C,1000,000000,,,,,,,019,1,,009,,,,,,,,,,MFVILLEGAS,,14,,200,39423,,,,,52787,15ý02,
